sku;id_woocommerce;nom;categorie;a_fournir;prix;sur_devis
0101164000- 0101165000;;Pince de hartmann striée à glissement joleti;Équipement du domicile;description;24.90;non
0111101002;;Pince kocher joleti;Instrumentation pour usage unique & qualité bloc;description;100.00;oui
0101010000- 0101011000- 0101001000- 0101003000;;Pince à disséquer joleti;Équipement du domicile;description;4.10;non
1503040010- 1503041010- 1503042010;;Pissette en plastique;Pissettes;description;4.21;non
OPT-WC-41632;41632;Plate-forme de gaz du sang;Biochimie;photo;100.00;oui
1502030020- 1502030060- 1502030180- 1502030070- 1502030080- 1502030310;;Plateau aluminium;Pissettes;description;100.00;oui
1501026000;;Plateau inox 18/10e;Pissettes;description;100.00;oui
OPT-WC-41720;41720;Processeur de tissus automatisé miniature TSP-1;Biologie Clinique;photo;100.00;oui
TEST-SKU-001;;Produit de test Playwright;;photo + description;42.50;non
OPT-WC-41305;41305;Réactif d'hématologie Diatron;Biologie Clinique;photo;100.00;oui
OPT-WC-41777;41777;Réfrigérateur de pharmacie 2-8/réfrigérateur médical à double porte, PR5-660;Équipements divers;photo;100.00;oui
OPT-WC-41773;41773;Réfrigérateur médical 2-8℃/pharmaceutique/vaccin à porte unique, PR5-100;Équipements divers;photo;100.00;oui
OPT-WC-41769;41769;Réfrigérateur à porte unique pour pharmacie et vaccins médicaux, PR5-25;Équipements divers;photo;100.00;oui
OPT-WC-41783;41783;Réfrigérateur à trois portes pour pharmacie/réfrigérateur médical/vaccin, PR5-1500;Équipements divers;photo;100.00;oui
0103042000;;SPÉCULUM DE VACHER JOLETI;Instrumentation qualité service;description;16.55;non
OPT-WC-41710;41710;Scanner numérique de lames de pathologie PSS-D5P;Biologie Clinique;photo;100.00;oui
1309515011-1309516011- 1309500011- 1309501011- 1309504241- 1309502011- 1309503011- 1309506011- 13095;;Sparadrap 3m™ micropore™(14) pour rouleau;Sparadrap;photo;100.00;oui
0220213021;;Spéculums auriculaires à usage unique joleti;Équipement du domicile;description;100.00;oui
022003003;;Spéculums heine;Équipement du domicile;photo + description;100.00;oui
0106001000- 0106008000;;Stylet olivaire double joleti;Équipement du domicile;description;2.88;non
OPT-WC-41857;41857;Stérilisateur à air chaud, DOF-HAS70A;Autoclaves & Stérilisateurs;photo;100.00;oui
1325079001- 1325081001- 1325080001- 1325082001- 1325083001- 1325084001- 1325085001- 1325075001- 1325;;Suprasorb® p sensitive;Sparadrap;photo;100.00;oui
OPT-WC-41643;41643;Système PCR en temps réel série PCR-Q32;Biologie Clinique;photo;100.00;oui
OPT-WC-41696;41696;Système PCR en temps réel, PCR-Q88-4;Biologie Clinique;photo;100.00;oui
OPT-WC-41650;41650;Système PCR en temps réel, série PCR-Q9;Biologie Clinique;photo;100.00;oui
0611006010;;TEST ENFANT JOLETI;Diagnostic & Secours;description;19.60;non
1605380000;;Telecommande Fauteuil BERGEN;Équipement du domicile;description;41.15;non
0611002010;;Test monoyer joleti;Échelles de lecture;description;100.00;oui
0117096000- 0117097000;;Tire-comédon joleti;Équipement du domicile;description;9.50;non
1037042071 - 1037041071 - 1037043061 - 1015218071 - 1015219061 - 1015221091 - 1037004071 - 103700507;;Unite prélévement sécurité bd vacutainer® safety-lok™;Prélèvement;photo;100.00;oui
2103480001- 2103481001- 2103482001- 2103483001- 2103484001- 2103485001- 2103486001- 2103487001- 2103;;Électrostimulateur périnéal innovo® version shorty;Électrothérapie;photo;100.00;oui
2118002190- 2118002180- 2118002340- 2118002080;;Œuf à malaxer eggsercizer;Équipement du domicile;description;14.26;non
